fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,6
7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,5
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9.0,6
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11.0,6
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10.0,5
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9.0,6
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
6.0,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6
7.0,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
7.0,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9.0,5
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8
6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
5.0,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6
7.0,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6
7.0,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11.0,6
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13.0,7
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5
6.0,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,7
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9.0,6
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7
8.0,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11.0,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11.0,5
6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
7.0,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
6.0,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10.0,6
7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
7.0,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6
5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
7.0,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10.0,6
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6
7.0,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6
7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9.0,5
7.0,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12.0,8
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6
5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10.0,7
6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13.0,7
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9.0,6
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,6
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10.0,5
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3.0,0.63,10.7,6
6.0,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7.7,0.49,1.0,19.6,0.03,28,135,0.9973,3.24,0.4,12.0,6
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9.0,7
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12.0,5
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
6.0,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11.0,6
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11.0,7
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9,6
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11.0,7
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10.0,6
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11.0,7
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6
9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
